COO,247,COO,56,CSR,30,DIA,0,ELL,0,COO-CSR,157,COO-CSR-ELL,3,all,0,Others,1
CSR,814,COO,2,CSR,692,DIA,0,ELL,0,COO-CSR,104,COO-CSR-ELL,7,all,4,Others,5
DIA,88,COO,2,CSR,5,DIA,28,ELL,0,COO-CSR,11,COO-CSR-ELL,0,all,16,Others,26
ELL,42,COO,1,CSR,8,DIA,0,ELL,3,COO-CSR,3,COO-CSR-ELL,22,all,2,Others,3
