08blocks,300,592,11.0736526842,440.679316098,50035,38.2852986054,245.408945819,50035,0.517277535501,26.4277455615,50035,0.134338222231,27.8188952327,50035,
1138_bus,1138,4054,12.0891237958,471.954505169,1904,9.02403444737,300.674923978,1904,0.0665480767718,3.70771431394,1904,4.28569261742,99.3359633432,1904,
144,144649,2148786,6.56649092302,310.775361231,7822,4.34992966701,423.740090712,7822,-1,-1,-1,4.48466200567,259.703408267,7822,
2D_27628_bjtcai,27628,206670,4.07791702216,522.528098495,19684,1.35467919982,483.325537886,19684,0.0348666744399,3.36324949755,19684,0.560057234907,70.79194355,19684,
2D_54019_highK,54019,486129,2.48897901813,504.31725213,61403,7.81988390535,486.323529412,61403,-1,-1,-1,6.98587604075,264.934873835,61403,
2cubes_sphere,101492,1647264,1.38136509385,404.976852165,9346,4.61244327534,505.295705521,9346,-1,-1,-1,4.58287004875,251.452297359,9346,
333SP,3712815,22217266,0.582011114691,178.014875622,36314,0.472738238182,201.537259953,36314,-1,-1,-1,0.0510241570764,64.2728663961,36314,
3D_28984_Tetra,28984,285092,6.9420837406,519.902939002,52235,3.59023141409,468.593030901,52235,0.0277846120417,3.39539138016,52235,0.149039400407,39.8384617534,52235,
3D_51448_3D,51448,537038,22.2919000446,480.84595681,5832,7.98743561018,501.998504393,5832,-1,-1,-1,1.03737003475,13.6094047764,5832,
3dtube,45330,3213618,13.887565305,456.378116866,12164,14.2095204264,585.038776625,12164,-1,-1,-1,0.0690756628281,15.4821673757,12164,
3elt,4720,27444,1.22376491548,472.20130738,27125,52.7044317717,383.349629837,27125,0.0353296090611,2.38544119449,27125,0.380485122854,346.165489405,27125,
3elt_dual,9000,26556,3.35551362828,476.755819909,34785,4.95566082799,347.819253438,34785,0.0118896322298,1.33089899832,34785,1.67298590299,515.95103944,34785,
494_bus,494,1666,2.29516615072,449.00003703,26050,12.4430319075,307.181709228,26050,0.112759302463,5.34540423577,26050,5.58718933197,177.850844418,26050,
598a,110971,1483868,5.3953917566,289.154212995,33584,3.07737423672,409.908287293,33584,-1,-1,-1,4.93742899341,219.734636458,33584,
662_bus,662,2474,20.0696518399,461.778324379,46731,11.339901374,322.723715106,46731,0.139522504199,4.92878758599,46731,3.80299202938,197.147183042,46731,
