08blocks,300,592,11.749902611,248.948696381,40465,3.68095015674,206.631762704,40465,0.0758019639566,19.1918045809,40465,0.0336589692655,14.4589495283,40465,
1138_bus,1138,4054,11.2248835798,252.743142247,55728,1.53158402712,264.794251929,55728,0.0468622864318,2.6218948267,55728,0.0127522377628,7.21179076197,55728,
144,144649,2148786,1.0528358716,178.027009157,7822,3.40357217098,284.043094016,7822,-1,-1,-1,0.316604350327,145.828707405,7822,
2D_27628_bjtcai,27628,206670,1.94162977115,163.181997643,39844,1.33336581168,332.000000219,39844,0.0184859296139,2.7392739274,39844,0.0780657837287,41.8487394984,39844,
2D_54019_highK,54019,486129,0.44675374735,262.064150913,18069,2.09426870281,333.307507778,18069,0.001325304198,0.769884595468,18069,0.491999662674,143.974233673,18069,
2cubes_sphere,101492,1647264,5.86661072006,193.340844869,41124,1.66357783959,334.809756831,41124,-1,-1,-1,0.265417466745,138.251279715,41124,
333SP,3712815,22217266,0.472198963652,142.072298226,61775,0.897432875779,187.979236809,61775,-1,-1,-1,1.47931734073,50.6157242463,61775,
3D_28984_Tetra,28984,285092,1.54146423137,117.806611529,39307,2.9036525289,136.964688951,39307,0.00845556770648,2.45372350723,39307,0.0359337142379,19.3433524449,39307,
3D_51448_3D,51448,537038,0.43107431745,262.931701259,55602,0.766577509457,352.850197083,55602,0.01676942155,2.02106348589,55602,0.00174220429212,0.932555968937,55602,
3dtube,45330,3213618,0.32744638757,197.70027697,58259,2.0491737852,390.002184676,58259,-1,-1,-1,0.0117332649077,8.16727365141,58259,
3elt,4720,27444,5.92771599483,200.248084612,27125,4.67463199714,287.823806797,27125,0.0173288009539,1.95750326322,27125,3.17650209716,175.473145805,27125,
3elt_dual,9000,26556,8.99680069341,221.762004044,34785,5.87086150301,249.001406534,34785,0.0206209045496,1.07920949002,34785,0.238539408502,35.5406852256,34785,
494_bus,494,1666,11.7036794523,252.74975344,53834,27.0433434843,254.954472422,53834,0.10630120659,3.88384822686,53834,0.157112788885,12.2171215699,53834,
598a,110971,1483868,0.660736766122,180.739098917,33584,2.89837629956,267.60468898,33584,-1,-1,-1,1.43622911425,127.699483469,33584,
662_bus,662,2474,9.37162572086,253.483606612,43795,2.18427732605,276.424581359,43795,0.294436186534,3.30426188344,43795,0.167915074777,101.936547201,43795,
685_bus,685,3249,8.76042842514,250.501156646,39189,3.18431203529,284.500875775,39189,0.0101882018946,5.82216328581,39189,0.902764203563,101.30963516,39189,
ABACUS_shell_ud,23412,218484,1.23216238652,262.128374414,10556,3.64060201096,343.258445109,10556,0.0429204809749,5.31261625988,10556,0.42423117846,170.225165545,10556,
AS365,3799275,22736152,0.179839347005,91.7742471956,46554,0.267791425941,111.059749894,46554,-1,-1,-1,0.58138419379,73.8822428379,46554,
ASIC_100k,99340,940621,0.990730920647,257.175939933,48536,1.09554387275,323.126417133,48536,-1,-1,-1,-1,-1,-1,
ASIC_100ks,99190,578890,3.15324750732,253.398993285,34878,0.473116736751,285.519112294,34878,-1,-1,-1,0.0148054083588,7.71750433295,34878,
ASIC_320k,321821,1931828,0.683509772849,242.997232371,14194,1.34090086591,286.196740227,14194,-1,-1,-1,-1,-1,-1,
ASIC_320ks,321671,1316085,1.00602429577,239.942572364,5139,1.89028682482,249.49478658,5139,-1,-1,-1,0.297087255009,6.97318992247,5139,
ASIC_680k,682862,2638997,2.19747971404,247.676865261,26951,0.519974233902,261.545788009,26951,-1,-1,-1,-1,-1,-1,
ASIC_680ks,682712,1693767,1.32644183802,236.065087099,62889,2.63796360538,219.257863824,62889,-1,-1,-1,0.0096490119637,4.23690668252,62889,
Alemdar,6245,42581,5.83773837711,255.3583207,25655,3.10375553679,296.421858478,25655,0.00900809813856,1.24901002587,25655,0.0376681376796,24.796040179,25655,
Andrews,60000,760154,3.0210189271,193.349612156,7680,2.28222545864,280.499631048,7680,-1,-1,-1,0.411411795892,91.9670921302,7680,
Baumann,112211,748331,1.8421841846,257.025931595,46134,1.07732581823,327.855859907,46134,1.01689306533,327.210756648,46134,1.82656724446,252.81452705,46134,
BenElechi1,245874,13150496,0.756734915047,197.766689292,49520,0.573529412953,392.434974877,49520,0.0121077363229,17.7746636123,49520,0.577939237573,266.096641059,49520,
CAG_mat1916,1916,195985,2.96651014711,265.382532,23195,5.3697325498,394.336016302,23195,0.108957645216,18.5556712766,23195,0.702224991187,100.86721566,23195,
CAG_mat364,364,13585,4.22551599698,237.707786494,29685,4.54752623037,373.72764837,29685,0.197916845505,36.1880660723,29685,1.22255146585,122.332282684,29685,
CAG_mat72,72,1012,12.0907432096,257.048514163,12755,1.63258979478,363.963315997,12755,0.341412769349,77.8401661415,12755,0.275395946056,154.894007825,12755,
CO,221119,7666057,0.126520891792,198.963327295,36678,2.23733518806,378.664213637,36678,-1,-1,-1,0.0337429897197,30.0511838497,36678,
CSphd,1882,1740,6.30904514026,259.643363418,49307,0.777500113475,135.910954897,49307,0.000870835091161,0.559325376448,49307,0.00231325641811,0.745766169732,49307,
California,9664,16150,4.35523464711,240.865026265,10073,3.08867195651,149.814471084,10073,9.78841407264e-05,0.105191202108,10073,0.00118602582104,0.36955718354,10073,
Chebyshev1,261,2319,11.7379915465,235.79054401,16318,6.71413451646,315.29571732,16318,0.168299546693,23.3558263656,16318,0.548308290247,8.9794970086,16318,
Chebyshev2,2053,18447,7.73205702925,257.280334831,21991,11.9510723699,332.978338928,21991,0.00928435505274,3.0770385568,21991,0.00136939401118,1.18859919008,21991,
